"t","icu","deaths","cases_imported","cases_community","cases_dorms","logcases_imported","logcases_community","logcases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
58,5.88703610271745,0.140933019914351,2.23876608533357,8.16857671847757,0,0.0270317219274168,32,156.525,0.524999999999991,1.50514997831991,2.19458150173322,-0.142989247940394,0.128327742026603,-0.301029995663981,0.301029995663981,0.954242509439325,0.301029995663981
59,5.88532958451783,0.143491283161756,2.4529449941195,8.44950418444962,0,0.03425991207053,32.525,162.525,0.524999999999991,1.51216605813785,2.21091812421983,-0.142989247940394,0.162571814709391,-0.301029995663981,0.301029995663981,0.978265191983679,0.301029995663981
60,5.92281990489537,0.145500730357647,2.85173932714846,8.70684836891806,0,0.0434248680739066,34.05,168,1,1.53192984472589,2.22530928172586,0,0.205952568575887,-0.301029995663981,0.477121254719662,1,0.477121254719662
61,6.0000786232273,0.147914816300729,3.47235898609141,8.96278323631058,0,0.0550415624234689,35,172.05,1,1.54406804435028,2.23564735657889,0,0.260907764630547,-0.301029995663981,0.542714091439019,0.954242509439325,0.542714091439019
62,6.11513074216506,0.151543334882204,4.34356056913749,9.2392393164087,1.98725479579088,0.0697658638649747,37.05,177.625,1,1.56863007608829,2.24946113830523,0,0.330542800331278,-0.301029995663981,0.602059991327962,1,0.602059991327962
63,6.26547074615723,0.156920140858757,5.48722950087595,9.54844723725657,3.72922210426388,0.0884290928796305,40,181,1,1.60205999132796,2.25767857486918,0,0.418971893210909,-0.301029995663981,0.740540158511021,0.813298314939715,0.740540158511021
64,6.45010637095026,0.164250230652356,6.92129415171522,9.88655923720172,4.6505144418153,0.112084956344042,43.525,190.1,1.52499999999999,1.63871017155555,2.27895812346961,0.158040747723588,0.531056849554951,-0.301029995663981,0.813298314939715,1.02173115970807,0.813298314939715
65,6.67111760621927,0.17343221330599,8.66248253202585,10.2326584718531,4.48667444554216,0.14206903725525,49.525,200.1,2,1.69480239028995,2.3012254343337,0.301029995663981,0.673125886810201,-0.301029995663981,0.954242509439325,1.07918124604762,0.954242509439325
66,6.93437071718831,0.184135084473322,10.7273395056675,10.553995922373,3.26745873671854,0.180074197824519,57,203,2,1.75587485567249,2.30749603791321,0.301029995663981,0.85320008463472,-0.301029995663981,1.02173115970807,0.903089986991944,1.02173115970807
67,7.24926622508063,0.195899476721003,13.1302930877647,10.8164958345082,1.32091406943566,0.228246152428644,65.575,215.525,2,1.81662475906028,2.33349648781415,0.301029995663981,1.08144623706336,0.0340049338286598,1.11394335230684,1.23044892137827,1.11394335230684
68,7.62765839082844,0.208234300921922,15.8783255027587,10.9979442024399,0,0.289304605244961,76.525,217.05,2,1.88379408704893,2.33655519093911,0.301029995663981,1.37075084230833,0.136958521423835,1.23044892137827,0.740540158511021,1.23044892137827
69,8.08229032719639,0.220688233678579,18.9627941458006,11.1002946088179,0,0.366696790054662,88.525,224.525,2,1.94705902275991,2.35126363071719,0.301029995663981,1.73744763236299,0.239911723582425,1.29041956965938,1.14612803567824,1.29041956965938
70,8.62518765758765,0.232888126654345,22.3499175039519,11.1575023179662,0,0.464792077967802,104.525,232.525,3,2.01921521817864,2.36646865136184,0.477121254719662,2.20223971033079,0.342864589480368,1.3121543776757,1.06123167962516,1.3121543776757
71,9.26642008841083,0.244548641349928,25.9721396501435,11.2362832548235,0,0.589128635664507,123,242.05,3,2.0899051114394,2.38390138886218,0.477121254719662,2.7913683459953,0.445817149307673,1.4068825118039,1.14612803567824,1.4068825118039
72,10.0134878284151,0.255465423606282,29.7228145636805,11.4289587044835,0,0.746726052548629,146.525,250.525,4,2.1659092072404,2.39885020789676,0.602059991327962,3.53809439854393,0.548769415973312,1.47712125471966,1.02173115970807,1.47712125471966
73,10.8713662148891,0.265505875116983,33.4563121771051,11.8396293127675,1.86619360185074,0.946481575052714,175.525,257.1,5,2.24433722372842,2.41008896184879,0.698970004336019,4.48457597359664,0.651721385834316,1.52532055288918,1.09743135183371,1.52532055288918
74,11.8430156907925,0.274607290828871,36.9947765517686,12.5667551119371,4.73892010977021,1.19967229915468,208.05,264,6,2.31816271430034,2.42160392686983,0.778151250383644,5.68424827275132,0.754673038490328,1.56254959299963,1.17609125905568,1.56254959299963
75,12.9300051460748,0.282784115792457,40.1415253593809,13.6862814123036,7.11338953796201,1.5205916423121,239,273.525,7.52499999999999,2.37839790094814,2.43699630282506,0.875543812177542,7.20483991506342,0.857624335632039,1.60246721311545,1.06123167962516,1.60246721311545
76,14.1328553336881,0.290137842027938,42.6997249049317,15.2394191422499,8.38961094650936,1.927355977768,270.525,285.525,9,2.43220666568458,2.45564347589679,0.954242509439325,9.13219589283142,0.960575218878563,1.63871017155555,1.20411998265592,1.63871017155555
77,15.4508021328167,0.296858101931258,44.4937990538131,17.2280332850445,8.26166020060911,2.4429268899788,310.575,288.525,10,2.49216143958648,2.46018279913282,1,11.5751227828102,1.06352560648171,1.65822380567611,0.845098040014257,1.65822380567611
