"t","icu","deaths","cases_imported","cases_community","cases_dorms","logcases_imported","logcases_community","logcases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
70,0.83762985517875,0.111642616129793,7.35421870575243,1.87815540835089,0,0.282631427914269,61.475,166.85,0,1.78868421589232,2.22225625787972,-0.301029995663981,1.28774772944621,0.109830792806275,0.92738743515445,0.301029995663981,0.92738743515445
71,1.1226830608349,0.117235877707785,9.81234121220136,1.8866923375719,0,0.362104602061015,80,173.425,0,1.90308998699194,2.23909550775245,-0.301029995663981,1.64985233150722,0.21744507483118,0.872644214828658,0.536467154608605,0.872644214828658
72,1.46853178814014,0.122475179889372,12.5092815862161,1.95278384496043,0,0.463924684881197,93.95,176.95,0,1.97287226050302,2.24784365169915,-0.301029995663981,2.11377701638842,0.325059171401035,1.09569324652075,0.301029995663981,1.09569324652075
73,1.88148337725233,0.127295435335494,15.2840950141616,2.11638586329564,0,0.59437525456546,112.475,183.95,0,2.05105172255647,2.26469339309991,-0.301029995663981,2.70815227095388,0.432673079723534,1.20411998265592,0.301029995663981,1.20411998265592
74,2.36717850779911,0.13166470192486,17.9438411881445,2.41559432696851,1.37105415727576,0.761506658754934,140,192.425,0,2.14612803567824,2.28424833952191,-0.301029995663981,3.46965892970882,0.540286785388694,1.25527250510331,0.142989247940391,1.25527250510331
75,2.93006226181429,0.135588203801677,20.284902795814,2.8813760017767,3.44044687107244,0.975632737930818,167.425,198.95,0.475,2.22380293091252,2.29873847282769,-0.15804074772359,4.44529166763963,0.647900261479637,1.3110949127222,0.38467334371543,1.3110949127222
76,3.57284253387089,0.139113577667022,22.117354564828,3.5334574216555,4.65685023848165,1.24996717353002,198,206,1,2.29666519026153,2.31386722036915,0,5.69525884116966,0.755513466911541,1.34242268082221,0.477121254719662,1.34242268082221
77,4.29602027394488,0.142331711788267,23.2885856959242,4.37812491828314,4.62294461513812,1.60143869016567,224.95,207.95,1,2.35208171822045,2.31795391726763,0,7.29669753133533,0.863126343896273,1.38863240601781,-0.301029995663981,1.38863240601781
78,5.09756790517735,0.145367867712756,23.7024138347538,5.40821708234621,3.27369577751602,2.05173535182063,256.85,219.475,2,2.40965004151161,2.34138393368161,0.301029995663981,9.34843288315596,0.970738814376286,1.36037224724467,0.698970004336019,1.36037224724467
79,5.9728069074386,0.148360886434076,23.3306644493892,6.60505909139436,0.922753446753557,2.62864228529007,285.9,233.95,2.475,2.45620356021033,2.36911909311773,0.38467334371543,11.977075168446,1.07835077520776,1.36172783601759,0.845098040014257,1.36172783601759
80,6.91449906237193,0.151433224632494,22.2154815332745,7.94163790417241,0,3.36775519894121,311.95,246.425,4,2.49408276457365,2.39167674268383,0.602059991327962,15.3448303673872,1.18596209179587,1.35159262954001,0.872644214828658,1.35159262954001
81,7.91312716030937,0.154659609751655,20.462226830274,9.38607010065217,0,4.31467513549063,340.375,255.475,6.475,2.53194597466608,2.40734757825095,0.809950975458185,19.6595055028779,1.29357258978949,1.3110949127222,0.736581096208641,1.3110949127222
82,8.95730960520504,0.158045280368748,18.2244011933652,10.9044381507473,0,5.52781939731866,369.225,280.95,10,2.56724307858642,2.44862629290636,1,25.1873249001965,1.40118204432319,1.25527250510331,1.21662622854904,1.25527250510331
83,10.0342769561828,0.161524545528154,15.6832799533727,12.4623602293603,0,7.08202128244646,389.9,297.425,13,2.59094753777168,2.47337196276005,1.11394335230684,32.269346182643,1.50879016614308,1.21662622854904,1.07585425205382,1.21662622854904
84,11.1303407412204,0.1649861863,13.0256656415388,14.0251331267975,0,9.07313941332035,406.175,308.9,16.475,2.60865776998397,2.48980883191327,1.21662622854904,41.3424855959633,1.61639658376104,1.07918124604762,0.954242509439325,1.07918124604762
85,12.2313046646643,0.168324735172557,10.4232177898425,15.5568126365512,2.73093780807354,11.6239588656508,424.55,337.9,23.95,2.62783162009748,2.52878060622474,1.37892861802845,52.9664444616141,1.72400082053749,0.995638842905803,1.35159262954001,0.995638842905803
86,13.3227997202628,0.171507786495465,8.01625072763076,17.0190173811558,7.90689331690477,14.8917445809066,443.55,360.475,31.475,2.64685350585728,2.55687473380801,1.49791112896495,67.8581890425207,1.83160226528059,0.954242509439325,1.3110949127222,0.954242509439325
87,14.3905586415613,0.174641819036308,5.90385111596749,18.3704298892526,12.9930152678068,19.0779071425732,459.125,382.375,43.475,2.66187319654488,2.58248023474036,1.63821096051022,86.9360961850939,1.93920013455119,0.809950975458185,1.17609125905568,0.809950975458185
88,15.4206716612747,0.178015157063845,4.14089718306795,19.5678528747313,17.1007644464118,24.4403674661401,468.9,406.475,54.95,2.67107629318343,2.60903351201001,1.739896036735,111.376463651234,2.04679342435337,0.536467154608605,1.26397493166398,0.536467154608605
89,16.3998765907499,0.182098481414033,2.74132944302614,20.5692718316457,19.7198905762636,31.3093671284594,477.175,425.95,72.95,2.67863752302377,2.6293574289133,1.86298462749863,142.685830779693,2.15438084823924,0.38467334371543,1.26642602563183,0.38467334371543
