"t","icu","deaths","cases_imported","cases_community","cases_dorms","logcases_imported","logcases_community","logcases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
137,13.3065652901468,0.253266238391296,0.0247656699583143,9.4359825287413,562.826490459689,4835.24402276626,573.5,2771.5,21864,2.75853325718268,3.442714875861,4.33972960732835,141608.402066385,5.15108902215893,-0.301029995663981,0.778151250383644,-0.301029995663981
138,12.3852534811141,0.234477055532502,0.0267094015603691,8.949622957716,564.22517382037,4769.6086246159,573.5,2773.5,22425.5,2.75853325718268,3.44302816315756,4.35074208726964,146414.450403287,5.16558394161791,-0.301029995663981,0.602059991327962,-0.301029995663981
139,11.5528458934962,0.214308431901205,0.0213022524536908,9.01840231848974,566.055147567838,4688.90248564409,573.5,2790.5,22990.5,2.75853325718268,3.44568185256349,4.3615484163549,151145.098300844,5.17939406738937,-0.301029995663981,1.07918124604762,-0.301029995663981
140,10.8587013145369,0.193466086401286,0.00990903030978063,9.52965438899545,567.892675451578,4598.27557106183,575,2805,23536,2.75966784468963,3.4479318720368,4.37173265185543,155789.957633753,5.19253945921067,-0.301029995663981,1,-0.301029995663981
141,10.3361262622628,0.172926705435545,0,10.3041162847351,569.337187830046,4498.58428020152,575,2809.5,24109,2.75966784468963,3.44862787411518,4.38217919658666,160339.464299556,5.20504042826888,-0.301029995663981,0.778151250383644,-0.301029995663981
142,9.99276048877958,0.153821094794289,0,11.1332725241554,570.107323852827,4390.74571380744,575.5,2812,24653.5,2.76004516405642,3.44901462981011,4.39187856867208,164784.948607809,5.216917540886,-0.301029995663981,0.602059991327962,-0.301029995663981
143,9.8052773286477,0.137257061245493,0,11.8207683072645,570.099243127573,4275.72029741799,576,2836,25219,2.76042248342321,3.45270555154402,4.40172786028879,169118.688283802,5.22819160150713,-0.301029995663981,1.23044892137827,-0.301029995663981
144,9.7199656980817,0.124120025708497,0,12.2187864970555,569.395575700673,4154.4943469374,577,2862,25774,2.76117581315573,3.45666952338243,4.41118180326182,173333.943738315,5.23888361830965,-0.301029995663981,1.40645667832143,-0.301029995663981
145,9.65957338221063,0.114897181193562,0,12.2519481647493,568.227129154693,4028.06311698733,577,2873.5,26339.5,2.76117581315573,3.45841119489508,4.42060752458062,177424.975825736,5.24901475472803,-0.301029995663981,0.903089986991944,-0.301029995663981
146,9.53545572777306,0.109567476079456,0,11.924562354385,566.901527882389,3897.41481056562,577.5,2890.5,26899.5,2.76155182578813,3.46097291523335,4.42974420686402,181387.046832282,5.25860627009937,-0.301029995663981,1.34242268082221,-0.301029995663981
147,9.26288543933162,0.107585649650281,0.00610277710177601,11.3110583257174,565.720260083738,3763.51595016659,578,2905.5,27478,2.76192783842053,3.46322035889429,4.43898511890874,185216.405884384,5.26767945248358,-0.301029995663981,0.903089986991944,-0.301029995663981
148,8.77660861736974,0.107967428065875,0.0201691049615247,10.5331927925475,564.906588827501,3627.29842137807,579,2914,28023.5,2.76267791599173,3.46448791078014,4.44752234513844,188910.260330129,5.27625554650704,-0.301029995663981,1.04139268515823,-0.301029995663981
149,8.04356268044344,0.109459989930672,0.0289724059596801,9.73026267495283,564.561700527148,3489.6484059241,579,2920.5,28587.5,2.76267791599173,3.46545613493388,4.45617616266882,192466.734915736,5.28435567882671,-0.301029995663981,0.698970004336019,-0.301029995663981
150,7.07015551774007,0.110762524250714,0.0299037408954553,9.02952298877195,564.657201446453,3351.39732780217,579.5,2927,29144,2.76305198540543,3.46642148047784,4.46454915721124,195884.820752091,5.29200078352399,-0.301029995663981,0.845098040014257,-0.301029995663981
