"duration","const","risk11","risk12","risk13","risk21","risk22","risk23","LL"
26,0.0229213245699662,0.856521239852827,0.587654825954779,0.00313815348102947,0.00464690599364028,0.00836587286680099,0,-516.979363054654
26,0.478252776198647,0.913793516868252,0.511883430962001,0.00313815348102947,0.00464690599364028,0.00836587286680099,0,-515.519672601144
30,0.270593642488485,0.890093073863517,0.608143849505666,0.00359418189147945,0.00464690599364028,0.00836587286680099,0,-518.105172239425
26,0.0275569809826607,0.890093073863517,0.654586027363029,0.00359418189147945,0.00464690599364028,0.00289955843871254,0,-515.666311709879
25,-0.349528248592888,0.890093073863517,0.577024165486643,0.00361671061678331,0.00464690599364028,0.00289955843871254,0,-515.250498732565
26,-0.198175252181459,0.872622106126084,0.565319319531089,0.00481716422490611,0.00464690599364028,0.00289955843871254,0,-513.38029997051
25,-0.357561564696965,0.90551460164351,0.503777493136946,0.00655653911158807,0.00170974681504933,0.00289955843871254,0,-514.082374912297
25,-0.408515620823664,0.896406921331732,0.659370571938566,0.00384903580527724,0.00170974681504933,0.00289955843871254,0,-516.968646807116
26,-0.288309093201055,0.834564661876013,0.61723516745721,0.00493607122266384,0.00170974681504933,0.0132012605198364,0,-516.286303506398
27,-0.206764749264469,0.808024257121231,0.696996973369677,0.00500306223568965,0.00320974664820332,0.00334630271486441,0,-515.621762789519
26,-0.390662915145564,0.81386721467728,0.582474251667835,0.0070429820482946,0.0106781505948416,0.00334630271486441,0,-516.472471483684
25,0.32892336021164,0.797443004161797,0.69690827675811,0.00757607486847774,0.00136582592405245,0.00113671230065485,0,-515.312199015478
25,0.362703071993571,0.826303979657848,0.558952083246454,0.00724025461794569,0.00136582592405245,0.00113671230065485,0,-514.673981600801
25,0.26090407841552,0.766006081124863,0.67975606206529,0.00731705705029726,0.00136582592405245,0.00113671230065485,0,-516.360602712101
25,0.0773104121960183,0.855074885758105,0.50690188487531,0.00562414328936625,0.00425571398291145,0.00113671230065485,0,-513.855313415718
25,-0.0491833400175191,0.829866676626876,0.64618300972897,0.00615546395321805,0.00425571398291145,0.00136460615909091,0,-514.060736568994
24,0.00477059027092458,0.838786464315523,0.554578829732408,0.00669408471277935,0.00425571398291145,0.00136460615909091,0,-513.742303076329
26,0.400173881029039,0.844461990843537,0.664787524067164,0.00631786496317027,0.00106111239789757,0.00136460615909091,0,-513.741889599004
25,0.532082269840239,0.881074393474496,0.551704765387798,0.00671036939423089,0.00531367979276165,0.00885548089882664,0,-515.842625244606
