"t","icu","deaths","cases_imported","cases_community","cases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
66,0,0.0911749746041896,4.98823254184533,1.68076267679237,2.33283407441252,0.188201154406247,22,137,0,1.34242268082221,2.13672056715641,-0.301029995663981,0.997019107566291,-0.301029995663981
67,0,0.0946962666838224,6.4941567620378,2.2127471190113,7.39381177368142,0.231988867208723,27,143,0,1.43136376415899,2.15533603746506,-0.301029995663981,1.22900797477501,0.0895547009414144
68,0,0.0981737009530468,8.03662498658501,2.81040368701291,12.2546925133382,0.285964364075181,35,147,0,1.54406804435028,2.16731733474818,-0.301029995663981,1.51497233885019,0.180404703337074
69,0,0.101598294451424,9.57899325600948,3.46989621269307,16.6814093515429,0.352497935652718,45,155.975,0,1.65321251377534,2.19305477584986,-0.301029995663981,1.86747027450291,0.27125369765097
70,0,0.104968869576502,11.0836279485006,4.18611218493797,20.4516408336426,0.434511328724871,58,160,0,1.76342799356294,2.20411998265592,-0.301029995663981,2.30198160322778,0.362101848551556
71,0,0.108292792946157,12.5130919051077,4.95276089571447,23.3650110734517,0.535606036101445,72,169,0,1.85733249643127,2.22788670461367,-0.301029995663981,2.83758763932923,0.452949283659967
72,0,0.111586300652824,13.8313314149694,5.76250240085125,25.2527190136498,0.660221427383573,92,177,0,1.96378782734556,2.24797326636181,-0.301029995663981,3.4978090667128,0.543796099157468
73,0,0.114874370988648,15.0048219992932,6.60710368504844,25.9862034195655,0.813829659516847,114,192,0,2.05690485133647,2.28330122870355,-0.301029995663981,4.31163872622965,0.634642364011229
74,0.0924387936180115,0.118190125837897,16.0036325283732,7.47761759057735,25.484483006269,1.00317591839805,138.975,200.975,1,2.14293640740777,2.30314190587658,0,5.3148146446277,0.725488123004363
75,0.307392447937275,0.121573763628977,16.8023703155137,8.36457937713527,23.7198584858539,1.23670137407966,164,211.975,1,2.2148438480477,2.32628452578797,0,6.55138917383301,0.816333398703505
76,0.574373576783068,0.125071049065291,17.3809743235596,9.25821524931966,20.7217233862966,1.52498699635091,193,223,2,2.28555730900777,2.34830486304816,0.301029995663981,8.07566309387487,0.907178192450516
77,0.895467234368552,0.128731406795367,17.7253293156454,10.148656836627,16.5783009251799,1.88047191316291,223,235,2,2.34830486304816,2.37106786227174,0.301029995663981,9.95456953108348,0.998022484421973
78,1.27181164723158,0.132605686717246,17.8276804539803,11.0261554506885,11.4362022521667,2.31881893687603,253,251,3.975,2.40312052117582,2.39967372148104,0.598936522912755,12.2706122526058,1.08886623275916
79,1.70353533545192,0.136743686766233,17.6868352371371,11.8812899817487,5.49778395358129,2.85934087888194,285,261,4,2.45484486000851,2.41664050733828,0.602059991327962,15.1254871764577,1.17970937173045
80,2.18971903888813,0.141191533909941,17.3081474796723,12.7051625302109,0,3.52578081793178,316,288,6,2.4996870826184,2.45939248775923,0.778151250383644,18.6512681317722,1.2707083648533
81,2.72838363219319,0.145989034899877,16.7032859756438,13.4895762922568,0,4.34628685038269,343.975,314,8,2.53652683450831,2.49692964807321,0.903089986991944,22.9989780848526,1.36170853647962
82,3.31650442079985,0.151167114504578,15.889798246425,14.2271908170186,0,5.35771721139415,369,337,12,2.56702636615906,2.52762990087134,1.07918124604762,28.360098044822,1.45270772130932
83,3.95005141292461,0.156745460058446,14.8904870590105,14.9116505069924,0,6.6044875334326,393,358.975,15,2.59439255037543,2.55506416302996,1.17609125905568,34.9708128467155,1.54370571518894
84,4.62405438666633,0.16273048701089,13.7326239420016,15.5376831178507,0,8.13683532590498,414.975,390.975,19,2.61802190282231,2.59214895363663,1.27875360095283,43.1223360752291,1.6347022614918
85,5.33269084242621,0.16911373078825,12.4470294820081,16.101165999029,0,10.0179120198823,431,416.975,25,2.63447727016073,2.62010998686508,1.39794000867204,53.1611135014377,1.72559404787523
86,6.06939427292456,0.175870755950742,11.067054554217,16.5991588689994,0,12.3442215458115,447,437,31,2.65030752313194,2.64048143697042,1.49136169383427,65.5319585847193,1.81645312571786
87,6.82697961705205,0.182960654832842,9.62749967690028,17.0299030035218,0,15.2209890766165,457,473,40,2.65991620006985,2.67486114073781,1.60205999132796,80.781065002417,1.90730955082862
88,7.59778230718375,0.190326185302166,8.16351128329718,17.3927877943924,0,18.767921308921,468,501.95,51.975,2.67024585307412,2.70066037432479,1.71579251444638,99.5607408933165,1.9980880986548
89,8.37380698567032,0.197894571836968,6.70949383584617,17.6882866738129,0,23.1413578511731,476.975,526.95,65,2.67849559338212,2.72176933241738,1.81291335664286,122.575990812424,2.08840540903554
90,9.14688176392175,0.205578966840714,5.2980753848328,17.9178653601555,0,28.5333985042808,483,554,81,2.68394713075151,2.74350976472843,1.90848501887865,150.967982282602,2.17888485065474
91,9.90881383082041,0.213280541113823,3.95916146998349,18.083866232006,0,35.1814114056383,487.975,579,101,2.68839755048301,2.76267856372744,2.00432137378264,186.145841501696,2.26985333781167
92,10.6515422854012,0.220891144880515,2.71910830617907,18.1893733502731,0.730535057604129,43.3825997468804,491,602,126.975,2.69108149212297,2.77959649125782,2.10371789156,229.518705376805,2.36081808264731
93,11.3672842663491,0.228296454916374,1.60004115637932,18.2380631989457,16.1331788998259,53.4377907859523,493,626,157,2.69284691927723,2.79657433321043,2.19589965240923,282.994500825568,2.4517779936753
94,12.0486707680233,0.235379500292281,0.619337888662674,18.2340465855907,34.423211994008,65.8223970842838,495,663.975,195,2.69460519893357,2.82215171559394,2.29003461136252,348.923025743919,2.54272962905377
95,12.6888689554633,0.242024440093795,0,18.1817073212096,55.4718770236214,81.0999508152262,496,692.925,242,2.6954816764902,2.84068613101494,2.38381536598043,430.196843694191,2.63366721966213
96,13.28168830214,0.248120452101422,0,18.0855432806115,79.0825683615345,99.9038865648158,497,725,299,2.69635638873333,2.86033800657099,2.47567118832443,530.501630370217,2.72468672263378
97,13.8216684539047,0.253565582550523,0,17.9500152310794,104.996105164431,122.964630964945,497.975,743,370.975,2.69720751890906,2.87098881376058,2.56934460497635,653.557028365691,2.81528348942832
98,14.3041473490088,0.258270404229452,0,17.7794084178253,132.897926522711,151.474629444972,498,768.975,460,2.69722934275972,2.88591221180718,2.66275783168157,805.039633296257,2.9058172617739
99,14.725308774319,0.26216133358019,0,17.5777113251006,162.426945119273,186.376818705448,498.975,793,571.975,2.6980787655518,2.8992731873176,2.75737703077934,991.428060098006,2.9962612064526
100,15.0822091887107,0.265183467129706,0,17.3485153135351,193.185740223289,229.15550564525,499,809,706,2.69810054562339,2.90794852161227,2.8488047010518,1221.73350870697,3.08697648551408
101,15.3727842738685,0.267302813234891,0,17.0949379942612,224.751727856057,281.459533280152,499,827.975,869.975,2.69810054562339,2.91801721610407,2.93950676571437,1503.55900655935,3.17712047648033
102,15.595836259181,0.26850781623823,0,16.8195722697679,256.6889170818,345.629542584337,499,843.95,1077,2.69810054562339,2.92631668774751,3.03221570329798,1851.2698910101,3.26746973784096
103,15.7510035923708,0.268810095938289,0,16.5244619846617,288.559847518944,423.418527615304,500,862.975,1331.975,2.69897000433602,2.93599820746795,3.12449607060029,2277.76934360863,3.35750974350525
104,15.8387149750313,0.268244354800079,0,16.2111041227605,319.937304615452,518.842961422778,500.975,891,1644,2.69981603282897,2.94987770403687,3.21590181320403,2803.14343229586,3.44764532047199
105,15.8601301395797,0.266867437409735,0,15.8804764969975,350.41542570745,634.257305088378,501,923.975,2018,2.69983772586725,2.96566021446525,3.30492116190089,3442.15392835779,3.53683028670169
106,15.8170700025007,0.264756560041692,0,15.5330889414376,379.61984047095,773.801732319718,501.975,946,2477,2.70068206736307,2.97589113640179,3.39392600658584,4228.19196931735,3.62615469555937
107,15.7119389830458,0.262006761496449,0,15.1690551642394,407.216532663683,942.95557334956,501.975,965.975,3052.925,2.70068206736307,2.9849658810887,3.48471613017486,5177.37667221202,3.7141097625697
108,15.5476423258237,0.258727658214087,0.114632644126059,14.7881816869526,432.919164114216,1147.18251570432,501.975,995.975,3634.975,2.70068206736307,2.99824843198175,3.56050142788948,6343.16227459643,3.80230582123368
109,15.3275012129514,0.255039615739848,0.424890187799726,14.3900697052913,456.494664451025,1390.75113870179,502.975,1024.975,4211.95,2.70154637835815,3.01071326767297,3.6244832058465,7755.66170543766,3.88961885730304
110,15.055168303172,0.251069473673756,0.689790331479438,13.9742252798746,477.766958464885,1369.24437435086,502.975,1055,4796.975,2.70154637835815,3.02325245963371,3.68096745486492,9130.87356461367,3.96051232771989
111,14.7345461016342,0.24694598119114,0.899946847691172,13.5401730167777,496.618774475977,1426.00583032595,502.975,1074.975,5368.925,2.70154637835815,3.03139835967942,3.72988733557255,10564.8574725341,4.02386364120243
112,14.3697102576567,0.242795114179313,1.04924823677187,13.0875683347111,512.991548774438,1524.03692867404,502.975,1095,5943.975,2.70154637835815,3.03941411917614,3.77407697399016,12085.4285683787,4.0822620557808
113,13.9648395237616,0.238735452343425,1.1348681375911,12.6163035389308,526.883510296458,1654.17881836673,503,1114,6522.9,2.70156798505593,3.04688519083771,3.81444071858543,13745.7241258088,4.13816762340309
114,13.5241537044355,0.23487379490009,1.1571445967668,12.126603225209,538.346093536273,1809.08107400374,503.975,1135.95,7103.95,2.70240897266079,3.05535919945455,3.85149989565042,15559.2839309127,4.19198960174678
115,13.0518604948296,0.231301186597129,1.11933920527455,11.6191050073933,547.478883884091,1985.60434020234,504,1155,7674.95,2.70243053644553,3.06258198422816,3.88507555450051,17546.0931971113,4.2441804214311
116,12.5521116760053,0.228089511958302,1.02729147721275,11.0949221800597,554.423346077086,2181.58252534884,504.975,1179,8254.9,2.70326985707683,3.07151380509509,3.91671181533672,19725.7253237504,4.29503296975064
117,12.0289687115228,0.22528879533278,0.888987439653436,10.5556856688126,559.355621665632,2395.80636672292,505,1193,8839.8,2.70329137811866,3.07664044367034,3.94644243489737,22119.1507037295,4.34476844150939
118,11.4863773964545,0.222925318275776,0.714064101914275,10.0035634558635,562.478704205024,2627.56111047852,505.975,1214.975,9412,2.70412903837177,3.08456733815445,3.97368191850398,24743.8941769496,4.39346804711282
119,10.9281508586339,0.221000634993066,0.513273195148546,9.44125656508525,564.014310713146,2876.97609807095,505.975,1238.95,9998,2.70412903837177,3.09305376620739,3.99991313241657,27617.5624816647,4.44118534464062
120,10.3579599153664,0.219491532242706,0.297928278381576,8.87197161426997,564.194764740788,3144.86538879189,506,1246.95,10569.775,2.7041505168398,3.09584902592737,4.02406573869029,30757.8996844549,4.48795667616844
121,9.77932955636024,0.218350943555094,0.0793589981441638,8.2993708574319,563.255190680425,3429.86592352207,506,1250.975,11137.925,2.7041505168398,3.09724862727629,4.04680428874915,34192.4454015106,4.53393016155681
122,9.19564016189273,0.217509790362591,0,7.72750151192778,561.42629169336,3733.64222419391,506.975,1266,11731.925,2.704986523271,3.10243370568134,4.06936927760792,37929.7959980533,4.57898050482734
123,8.61013197753775,0.216879686119217,0,7.16070696104344,558.927946313115,4052.23987223847,507,1276.975,12303.95,2.70500795933334,3.10618239169146,4.09004455746312,41986.6605358971,4.62311132993128
124,8.0259113534605,0.216356405217101,0,6.60352311284034,555.963813226023,4386.6631991829,508,1286.975,12872.975,2.70586371228392,3.10957010744648,4.1096789257983,46377.2946785027,4.66630540794811
125,7.44595731444523,0.215823987871304,0,6.06056375492814,552.717082076332,4733.95132561021,508,1294.975,13455.9,2.70586371228392,3.11226138111516,4.12891275045856,51100.2410073186,4.70842294792222
126,6.87312715079487,0.215159326402806,0,5.53639915236273,549.347452736513,5094.46336197257,508,1303.975,14031.975,2.70586371228392,3.11526926200382,4.14711880223712,56204.8473539296,4.74977377163692
127,6.31015990175536,0.214237058576384,0,5.03543237767143,545.989368773092,5462.97607837806,508.975,1309,14605.925,2.70669643058544,3.11693964655076,4.16452906602803,61679.3980685997,4.79014012533363
128,5.75967683179036,0.212934580673294,0,4.56177793041866,542.751475274201,5838.33139013114,509,1321,15198.9,2.70671778233676,3.12090281761453,4.18181215723489,67503.7564941304,4.82932794126885
129,5.22417826389261,0.211136987361414,0,4.11914709768126,539.717219124154,6215.20960115993,509.975,1326.975,15767.975,2.70754886625391,3.12286273789454,4.19777592268017,73737.5014713383,4.86768841783217
130,4.70603641992194,0.208741747430743,0,3.71074423203415,536.94646336516,6585.31253526936,509.975,1339,16350.975,2.70754886625391,3.12678057701201,4.21354365449913,80339.883797297,4.90493119923746
131,4.20748421218752,0.205662934045144,0,3.33917769229567,534.477948316785,6944.39210068225,510,1353,16946.675,2.70757017609794,3.13129779659762,4.22908449760548,87291.383822377,4.94097137837629
132,3.73060021939946,0.201834844967359,0,3.00638862252525,532.332402137174,7287.57482215432,510,1359,17518.725,2.70757017609794,3.13321945673249,4.24350249325963,94599.6522792308,4.97588953990335
133,3.27729035079787,0.19721487159659,0,2.71360005983802,530.51608356319,7605.44797853577,510.975,1367.975,18095.875,2.70839963203379,3.13607815781369,4.2575795872326,102206.002304161,5.00947640158065
134,2.84926694277258,0.191785504694726,0,2.46128808914734,529.024530287566,7892.16007043105,511,1378.875,18676,2.70842090013471,3.13952482783954,4.27128386525877,110122.159071057,5.0418747176369
