"t","icu","deaths","cases_imported","cases_community","cases_dorms","infns_dorms","cumcases_imported","cumcases_community","cumcases_dorms","logcumcases_imported","logcumcases_community","logcumcases_dorms","cuminfns_dorms","logcuminfns_dorms"
141,10.0194666895942,0.19999119037088,0.74672943303062,5.79124233962024,574.267279308538,8624.72834958653,577,1520,23096,2.76117581315573,3.18184358794477,4.36353677087266,171499.319900332,5.23426240213903
142,9.51811538613799,0.186776808574699,0.770461392074147,5.74096098242808,575.0475828845,8493.47012705075,577,1529,23685,2.76117581315573,3.18440748541232,4.37447338906398,179982.848252577,5.25523112030232
143,9.04584507471604,0.173492878501325,0.755226566932738,5.71263769562351,576.071806658298,8303.96804699079,578,1532,24268,2.76192783842053,3.18525876529658,4.38503398627201,188281.095337883,5.27480671614357
144,8.60283669375427,0.160311737836938,0.703112597114329,5.70196926376727,577.350030374507,8064.71683026468,578,1536,24851.5,2.76192783842053,3.18639121569549,4.39535260714895,196352.432676757,5.29303628626112
145,8.18920838629817,0.147401445115677,0.617916817012466,5.70476238225991,578.891723589077,7779.12513669032,579,1544,25433.5,2.76267856372744,3.18864729599972,4.40540612910843,204132.752121499,5.30991269077285
146,7.80501534491951,0.134920680471495,0.504905912388692,5.71702784543197,580.702491267112,7453.61502726113,579,1556,26020.5,2.76267856372744,3.19200959265367,4.41531563746263,211590.899452107,5.32549698471129
147,7.45024627546834,0.123014093401759,0.370514613779736,5.73506165607799,582.78058336055,7096.23733690676,579,1562,26601,2.76267856372744,3.19368102954128,4.4248979631844,218698.150483456,5.33984511025197
148,7.1248166638705,0.111808263608183,0.221999466942432,5.75551086796911,585.113381137628,6715.12636938511,580,1572,27189,2.76342799356294,3.19645254170339,4.4343932347126,225418.232102002,5.35298903939896
149,6.82855916942052,0.101408414032136,0.0670652684818305,5.77542264059037,587.674077453879,6320.02787066311,580,1578,27770,2.76342799356294,3.1981069988734,4.44357587975026,231748.134121178,5.36501624618485
150,6.56121160297377,0.0918959830174784,0,5.79227569504458,590.418762174444,5914.69586827615,580.5,1583,28357.5,2.76380206297663,3.19948091486236,4.45266794068673,237679.314429005,5.37599138605858
151,6.32240307350934,0.0833271264871637,0,5.80399408218832,593.284107882856,5509.19766777065,581,1586,28939.5,2.76417613239033,3.20030318298158,4.46149102329329,243187.829609474,5.38594183677643
152,6.1116389960569,0.0757321826280659,0,5.80894387915996,596.185825606811,5107.0866179401,581,1592,29525,2.76417613239033,3.20194306340165,4.47018990628555,248298.181214205,5.39497353835631
153,5.92828574268957,0.06911609244902,0,5.80591409016131,599.018026710323,4714.29553455293,582,1595,30111,2.76492298464989,3.2027606873932,4.47872517886946,253001.724030591,5.40312348060041
154,5.7715557813992,0.0634597313310429,0,5.79408361571017,601.653586862194,4336.54804786766,582,1602,30705,2.76492298464989,3.20466251174822,4.48720910171819,257332.720808718,5.41049501186916
155,5.64049418116524,0.0587220709003069,0,5.77297664874851,603.945562884874,3975.68019232905,582,1605,31288.5,2.76492298464989,3.20547503674089,4.49538474310551,261310.32884979,5.41715657648512
156,5.53396736246405,0.0548430586788903,0,5.74240923762731,605.729665319217,3634.63288093768,582,1607,31872.5,2.76492298464989,3.20601587676334,4.50341612974042,264942.450513367,5.42315154887521
157,5.45065493896893,0.0517470762853653,0,5.70243001146872,606.827740821821,3313.93918405162,583,1607,32462,2.76566855475901,3.20601587676334,4.511375273414,268257.606888305,5.42855204595122
158,5.38904542785015,0.049346816518013,0,5.6532581845999,607.052171186186,3015.63887730294,583,1610,33048.5,2.76566855475901,3.20682587603185,4.51915175253122,271279.951820473,5.43341769962946
159,5.34743650371643,0.0475474062340307,0,5.59522194132302,606.211051917876,2739.45247048381,583.5,1617,33634,2.76604070093571,3.2087100199064,4.52677851984585,274019.91176919,5.43778212215355
160,5.32394033727405,0.0462505960148437,0,5.5287001534276,604.113974815427,2485.35026067746,584,1629,34221.5,2.7664128471124,3.21192108430851,4.53429904161243,276504.151341259,5.44170165604241
161,5.3164943978744,0.0453588393320041,0,5.45407010956964,600.578207594043,2251.4805172738,584,1637,34807,2.7664128471124,3.21404867941194,4.54166659324718,278754.73040744,5.44522224600211
